time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-12-30T17:16:23.000Z,-3.205,139.289,10,6.5,Mi,18,86.39999308800056,,,pt,pt23364001,2023-12-30T17:25:39.788Z,"163 km WSW of Abepura, Indonesia",earthquake,,,,13,reviewed,pt,pt
2023-12-28T09:15:15.393Z,44.5796,148.9903,23.844,6.5,mww,119,49,4.611,1.07,us,us6000m05c,2023-12-29T09:27:17.625Z,"113 km SE of Kuril’sk, Russia",earthquake,7.98,4.633,0.078,16,reviewed,us,us
2023-11-27T21:46:42.183Z,-3.5605,144.0313,10,6.5,mww,248,15,3.482,0.5,us,us7000le6w,2024-01-15T04:51:33.731Z,"44 km E of Wewak, Papua New Guinea",earthquake,6.08,1.578,0.093,11,reviewed,us,us
2023-10-31T11:10:56.943Z,-17.5412,-179.0263,560,6.5,mww,113,27,2.793,0.71,us,us7000l7qy,2024-01-10T06:01:23.040Z,"185 km ENE of Levuka, Fiji",earthquake,10.25,1.963,0.052,36,reviewed,us,us
2023-08-16T12:47:39.720Z,-13.8882,167.2249,188,6.5,mww,203,24,7.196,0.57,us,us7000knq0,2023-10-27T21:39:02.040Z,"35 km W of Sola, Vanuatu",earthquake,8.72,1.922,0.068,21,reviewed,us,us
2023-07-19T00:22:07.656Z,12.8,-88.0796,70.808,6.5,mww,156,65,0.706,1.08,us,us7000kgpb,2023-12-10T22:02:14.497Z,"43 km S of Intipucá, El Salvador",earthquake,6.75,3.291,0.04,59,reviewed,us,us
2023-05-25T03:05:32.956Z,8.9223,-77.0904,13,6.5,mww,113,87,2.12,0.62,us,us7000k3n3,2023-07-29T22:00:35.040Z,"45 km NE of Puerto Obaldía, Panama",earthquake,6.62,1.815,0.044,49,reviewed,us,us
2023-05-20T02:09:54.333Z,-22.956,170.5524,10,6.5,mww,82,33,2.887,0.82,us,us6000kdcu,2024-01-18T19:58:16.076Z,"southeast of the Loyalty Islands",earthquake,8.15,1.636,0.028,119,reviewed,us,us
2023-04-03T03:06:57.235Z,52.7227,158.4935,101,6.5,mww,323,12,0.316,0.72,us,us6000k1mn,2023-06-13T03:13:19.040Z,"23 km SSE of Vilyuchinsk, Russia",earthquake,7.61,1.611,0.063,24,reviewed,us,us
2023-03-21T16:47:23.626Z,36.523,70.943,192,6.5,mww,164,12,2.512,0.94,us,us7000jln7,2023-10-22T17:50:55.996Z,"40 km SSE of Jurm, Afghanistan",earthquake,6.23,1.842,0.057,30,reviewed,us,us
2023-03-02T18:04:30.810Z,-15.3766,166.3907,17,6.5,mww,70,45,5.522,1.23,us,usd000j5jt,2023-05-08T02:00:22.040Z,"83 km WSW of Port-Olry, Vanuatu",earthquake,7.88,0.407,0.043,52,reviewed,us,us
2022-09-29T03:03:24.073Z,-60.8308,-20.025,11,6.5,mww,125,37,10.987,0.68,us,us6000ip57,2022-12-03T22:02:37.040Z,"east of the South Sandwich Islands",earthquake,8.93,1.683,0.049,40,reviewed,us,us
2022-09-17T13:41:17.890Z,23.1191,121.4138,10,6.5,mww,178,54,0.43,0.75,us,us7000i8ui,2023-12-01T13:55:55.227Z,"96 km SE of Lugu, Taiwan",earthquake,7.54,1.746,0.038,67,reviewed,us,us
2022-06-08T00:55:46.777Z,-9.0472,-71.1783,622.73,6.5,mww,236,31,1.999,0.74,us,us7000hfrj,2022-08-13T21:53:07.040Z,"107 km SSW of Tarauacá, Brazil",earthquake,9.09,2.853,0.049,40,reviewed,us,us
2022-02-03T15:58:57.367Z,-4.4661,-76.9283,110,6.5,mww,,22,3.026,0.72,us,us7000ghm5,2022-04-15T17:57:16.040Z,"49 km NW of Barranca, Peru",earthquake,6.6,1.8,0.059,28,reviewed,us,us
2022-01-29T02:46:39.588Z,-29.5642,-176.7217,8,6.5,mww,,57,1.088,1.3,us,us7000gg3w,2022-04-15T17:57:01.040Z,"Kermadec Islands region",earthquake,9.5,1.8,0.048,41,reviewed,us,us
2021-09-22T09:57:07.023Z,12.1396,-87.8647,21,6.5,mww,,114,0.993,1.07,us,us7000fdds,2022-04-21T07:59:20.662Z,"80 km SW of Jiquilillo, Nicaragua",earthquake,5,1.9,0.035,80,reviewed,us,us
2021-06-20T17:05:50.681Z,-30.2162,-177.8449,25,6.5,mww,,24,7.994,1.1,us,us7000eeq4,2021-12-06T14:50:53.072Z,"Kermadec Islands, New Zealand",earthquake,8.9,1.5,0.045,47,reviewed,us,us
2021-05-21T22:13:18.379Z,-16.6009,-177.3725,10,6.5,mww,,44,4.518,0.96,us,us7000e579,2021-12-15T11:59:55.864Z,"265 km SSE of Alo, Wallis and Futuna",earthquake,7.3,1.4,0.061,26,reviewed,us,us
2021-04-25T22:28:02.196Z,-21.6097,-177.1526,246,6.5,mww,,20,5.931,0.9,us,us6000e4rl,2021-11-29T05:15:21.247Z,"207 km WSW of Haveluloto, Tonga",earthquake,8,1.7,0.038,68,reviewed,us,us
2021-04-24T00:23:38.164Z,-18.9036,-176.2702,301,6.5,mww,,19,10.405,0.85,us,us6000e47c,2021-12-04T14:31:51.821Z,"225 km WNW of Pangai, Tonga",earthquake,8.8,1.9,0.06,27,reviewed,us,us
2021-03-04T23:12:59.962Z,-28.5168,-176.6801,24,6.5,mwb,,25,11.764,0.64,us,us7000dfq2,2021-05-13T22:45:50.040Z,"Kermadec Islands region",earthquake,8.9,1.8,0.071,19,reviewed,us,us
2020-09-01T21:09:17.852Z,-27.9162,-71.3701,16,6.5,mww,,49,0.388,0.9,us,us7000bg4v,2022-07-14T04:43:11.570Z,"94 km NW of Vallenar, Chile",earthquake,4.3,1.6,0.071,19,reviewed,us,us
2020-08-30T21:20:29.757Z,0.7821,-29.8656,10,6.5,mww,,31,15.394,0.66,us,us7000bf3k,2021-06-26T03:42:19.461Z,"central Mid-Atlantic Ridge",earthquake,9.3,1.7,0.046,46,reviewed,us,us
2020-05-15T11:03:27.176Z,38.1689,-117.8497,2.7,6.5,ml,27,55.79,0.357,0.2669,nn,nn00725272,2023-08-25T20:46:08.292Z,"Monte Cristo Range, NV Earthquake",earthquake,,2.1,,,reviewed,nn,nn
2020-05-02T12:51:05.561Z,34.1818,25.7101,10,6.5,mww,,19,1.293,1.01,us,us700098qd,2022-03-10T05:14:18.344Z,"91 km S of Néa Anatolí, Greece",earthquake,6.7,1.8,0.048,42,reviewed,us,us
2020-03-31T23:52:30.781Z,44.4646,-115.1175,12.06,6.5,mww,,31,0.885,0.66,us,us70008jr5,2023-11-27T02:38:57.327Z,"Stanley, Idaho",earthquake,8.5,3.8,0.021,212,reviewed,us,us
2019-11-08T10:44:44.338Z,-21.9449,-179.5113,577,6.5,mww,,25,4.765,0.83,us,us6000693m,2020-02-01T23:21:56.040Z,"Fiji region",earthquake,9.2,1.9,0.042,55,reviewed,us,us
2019-10-31T01:11:19.146Z,6.9098,125.1782,10,6.5,mww,,19,0.428,0.76,us,us700061e9,2023-04-15T15:11:31.357Z,"2 km ENE of Bulatukan, Philippines",earthquake,7,1.7,0.043,51,reviewed,us,us
2019-09-25T23:46:43.543Z,-3.4528,128.3699,12.26,6.5,mww,,15,3.909,0.95,us,us70005lfd,2020-07-10T17:48:10.911Z,"33 km NE of Ambon, Indonesia",earthquake,6.2,2.4,0.038,65,reviewed,us,us
2019-04-09T17:53:58.423Z,-58.6262,-25.304,38,6.5,mww,,18,7.568,1.08,us,us600032fg,2019-06-20T19:03:09.040Z,"South Sandwich Islands region",earthquake,8.2,1.8,0.049,40,reviewed,us,us
2018-10-22T06:22:48.120Z,49.297,-129.7237,10,6.5,mww,,68,1.692,0.71,us,us1000hfh3,2022-05-03T19:35:47.549Z,"237 km SW of Port McNeill, Canada",earthquake,3.3,1.7,0.071,19,reviewed,us,us
